RR_Mission,ID,Description,single_logp,single_NES,in_full_referee,within_study_selection_freq,n_success,n_attempt,verdict
RR1_NASA,GO:0031577,spindle checkpoint signaling,1.13,1.76,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0060338,regulation of type I interferon-mediated signaling pathway,1.129,1.751,true,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0070286,axonemal dynein complex assembly,1.001,1.75,false,0.033,30,30,likely_noise
RR1_NASA,GO:0061515,myeloid cell development,1.639,1.75,false,0.033,30,30,likely_noise
RR1_NASA,GO:0014719,skeletal muscle satellite cell activation,1.153,1.745,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,1.176,1.74,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:1905819,negative regulation of chromosome separation,1.176,1.74,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0045834,positive regulation of lipid metabolic process,2.057,-1.74,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0071825,protein-lipid complex organization,1.247,-1.739,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0060078,regulation of postsynaptic membrane potential,1.736,1.739,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0051321,meiotic cell cycle,2.729,1.733,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0008608,attachment of spindle microtubules to kinetochore,1.112,1.721,false,0.033,30,30,likely_noise
RR1_NASA,GO:0060920,cardiac pacemaker cell differentiation,1.021,-1.721,false,0,30,30,likely_noise
RR1_NASA,GO:0071612,IP-10 production,1.032,1.713,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0071658,regulation of IP-10 production,1.032,1.713,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0000075,cell cycle checkpoint signaling,2.144,1.711,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0001676,long-chain fatty acid metabolic process,1.781,-1.711,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0033047,regulation of mitotic sister chromatid segregation,1.217,1.707,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0000819,sister chromatid segregation,2.339,1.684,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0044774,mitotic DNA integrity checkpoint signaling,1.001,1.682,false,0,30,30,likely_noise
RR1_NASA,GO:0071466,cellular response to xenobiotic stimulus,2.322,-1.682,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0019079,viral genome replication,1.201,1.671,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:2001251,negative regulation of chromosome organization,1.291,1.67,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0009123,nucleoside monophosphate metabolic process,1.087,-1.667,false,0.033,30,30,likely_noise
RR1_NASA,GO:0051304,chromosome separation,1.081,1.662,false,0.033,30,30,likely_noise
RR1_NASA,GO:0140374,antiviral innate immune response,1.177,1.661,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0090303,positive regulation of wound healing,1.001,-1.66,true,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0007006,mitochondrial membrane organization,1.005,-1.66,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0098813,nuclear chromosome segregation,2.516,1.658,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0060021,roof of mouth development,1.109,1.654,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0051784,negative regulation of nuclear division,1.001,1.647,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0050435,amyloid-beta metabolic process,1.001,-1.646,true,0,30,30,likely_noise
RR1_NASA,GO:0120254,olefinic compound metabolic process,1.75,-1.644,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0045132,meiotic chromosome segregation,1.02,1.642,false,0.033,30,30,likely_noise
RR1_NASA,GO:0051310,metaphase chromosome alignment,1.067,1.636,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0072522,purine-containing compound biosynthetic process,2.649,-1.623,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:1901293,nucleoside phosphate biosynthetic process,2.332,-1.602,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0060759,regulation of response to cytokine stimulus,1.222,1.598,false,0,30,30,likely_noise
RR1_NASA,GO:0016042,lipid catabolic process,3.237,-1.596,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0007059,chromosome segregation,2.615,1.585,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:1901991,negative regulation of mitotic cell cycle phase transition,1.178,1.584,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0001959,regulation of cytokine-mediated signaling pathway,1.083,1.577,false,0.033,30,30,likely_noise
RR1_NASA,GO:0010389,regulation of G2/M transition of mitotic cell cycle,1.021,1.574,false,0,30,30,likely_noise
RR1_NASA,GO:0006163,purine nucleotide metabolic process,3.577,-1.572,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0034308,primary alcohol metabolic process,1.03,-1.57,true,0.033,30,30,likely_noise
RR1_NASA,GO:0000280,nuclear division,2.183,1.566,false,1,30,30,heterogeneity_loss
RR1_NASA,GO:0008637,apoptotic mitochondrial changes,1.129,-1.552,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0046890,regulation of lipid biosynthetic process,1.678,-1.549,false,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:1901988,negative regulation of cell cycle phase transition,1.424,1.536,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0000302,response to reactive oxygen species,1.451,-1.486,true,0.967,30,30,heterogeneity_loss
